id,col_name,dtype,unique,nans
0,ACMG_class,object,5,0
1,ACMG_coding_impact,object,9,0
2,ACMG_gene,object,17146,87047
3,ACMG_rules,object,540,4509
4,ACMG_score,float64,460,2073
5,ACMG_transcript,object,19241,86131
6,AMP_matches,object,5,0
7,AMP_rules,object,961,0
8,AMP_score,int64,1,304270
9,AMP_tier,object,4,0
10,AMP_total_samples,int64,151,198790
11,AS_FilterStatus,object,63,0
12,AS_SB_TABLE,object,86334,0
13,CGDinheritance,object,44,239664
14,ClinVarClass,int64,12,264455
15,ClinVarDisease,int64,1,304270
16,DANN_score,int64,1,304270
17,DP,int64,626,0
18,ECNT,int64,44,0
19,GERMQ,int64,93,0
20,Gene,object,35117,22401
21,MBQ,int64,26,70
22,MFRL,int64,815,702
23,MMQ,int64,48,0
24,MPOS,int64,51,44
25,MutationTaster_pred,object,96,285664
26,MutationTaster_score,object,5631,285665
27,POPAF,float64,1,0
28,RPA,int64,28,278208
29,RU,object,1307,278208
30,SIFT_score,object,6424,286987
31,STR,int64,2,278208
32,STRQ,int64,94,278208
33,TLOD,float64,2229,0
34,coding_impact,object,32,262671
35,cosmicFathMMPrediction,object,5,226364
36,cosmicFathMMScore,float64,14897,226398
37,function,object,1799,22401
38,gnomadExomesEthnic_AC_Hom,int64,25642,231180
39,gnomadExomes_AC,int64,48370,226892
40,gnomadExomes_AC_Hemi,int64,1,304270
41,gnomadExomes_AC_Hom,int64,48370,226892
42,gnomadExomes_AF,float64,55169,226892
43,gnomadExomes_AF_ethnic,float64,53830,227206
44,gnomadExomes_AN,int64,25724,226592
45,gnomadGenomesAC,int64,113186,11740
46,gnomadGenomesAN,int64,26076,11385
47,gnomadGenomesEthnic_AC_Hom,int64,32167,32373
48,gnomadGenomes_AC_Hemi,int64,1,304270
49,gnomadGenomes_AC_Hom,int64,113186,11740
50,gnomadGenomes_AF,float64,204210,11740
51,gnomadGenomes_AF_ethnic,float64,193634,12213
52,hgvs,object,170414,83341
