id,col_name,dtype,unique,nans
0,AC,int64,2,0
1,ACMG_class,object,5,0
2,ACMG_coding_impact,object,9,0
3,ACMG_gene,object,15344,39581
4,ACMG_rules,object,335,3274
5,ACMG_score,float64,107,0
6,ACMG_transcript,object,16788,39150
7,AF,float64,2,0
8,AN,int64,1,0
9,BaseQRankSum,object,11493,48972
10,CGDinheritance,object,41,110895
11,ClinVarClass,object,20,14474
12,ClinVarDisease,int64,1,140174
13,ClippingRankSum,object,2,120713
14,DANN_score,int64,1,140174
15,DP,int64,646,0
16,ExcessHet,float64,1,0
17,FS,float64,12145,92123
18,Gene,object,28479,8943
19,MLEAC,int64,2,0
20,MLEAF,float64,2,0
21,MQ,float64,4069,0
22,MQRankSum,object,10235,94661
23,MutationTaster_pred,object,79,129726
24,MutationTaster_score,object,4235,129728
25,QD,float64,5076,0
26,ReadPosRankSum,object,6400,49245
27,SIFT_score,object,5167,130470
28,SOR,float64,3935,0
29,coding_impact,object,25,117404
30,function,object,1489,8943
31,gnomadExomesEthnic_AC_Hom,int64,23097,100205
32,gnomadExomes_AC,int64,37543,98190
33,gnomadExomes_AC_Hemi,int64,1,140174
34,gnomadExomes_AC_Hom,int64,37543,98190
35,gnomadExomes_AF,float64,40956,98190
36,gnomadExomes_AF_ethnic,float64,39800,98384
37,gnomadExomes_AN,int64,20293,98018
38,gnomadGenomesAC,int64,87641,3727
39,gnomadGenomesAN,int64,18449,3537
40,gnomadGenomesEthnic_AC_Hom,int64,30013,12240
41,gnomadGenomes_AC_Hemi,int64,1,140174
42,gnomadGenomes_AC_Hom,int64,87641,3727
43,gnomadGenomes_AF,float64,126647,3727
44,gnomadGenomes_AF_ethnic,float64,120072,3904
45,hgvs,object,102416,37759
